#	Note	Staff (0)	Sword (1)	Dagger (2)	Axe (3)	Spear (4)	Bow (5)	Mace (6)	Blaster (7)	Shield (8)	Leather (9)	Chain (10)	Plate (11)	Fire Magic (12)	Air Magic (13)	Water Magic (14)	Earth Magic (15)	Spirit Magic (16)	Mind Magic (17)	Body Magic (18)	Light Magic (19)	Dark Magic (20)	Dark Elf Ability (21)	Vampire Ability (22)	Dragon Ability (23)	ID Item (24)	Merchant (25)	Repair Item (26)	Body Building (27)	Meditation (28)	Perception (29)	Regeneration (30)	Disarm Trap (31)	Dodging (32)	Unarmed (33)	ID Monster (34)	Armsmaster (35)	Stealing (36)	Alchemy (37)	Learning (38)
0	Human	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B/1/4/0/0	B/1/4/0/0	B/1/4/0/0	E/2/4/0/0	B/1/4/0/0	B/1/4/0/0	B/1/4/0/0	B/1/4/0/0	B/1/4/0/0	B/1/4/0/0	B/1/4/0/0	B/1/4/0/0	B/1/4/0/0	B/1/4/0/0	E/3/4/0/1
1	UndeadHuman	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0/-2/3/0/0	-	-	-	E/2/4/0/1	-	-	-	-	-	-	B/1/4/0/1	M/3/4/0/1
2	VampireHuman	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	G/4/4/0/1	-	-	-	-	-	E/2/4/0/0	-	M/3/0/1	-	-	-	-	-	-	-	-
3	ZombieHuman	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B/1/4/0/1	-	-	-	-	-	-	-	B/1/0/1	-	-	B/1/4/0/0	-	-	-	-	-
4	GhostHuman	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5	DarkElf	-	-	-	-	-	M/3/4/0/1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	G/4/4/0/1	-	-	-	0/1/4/0/0	-	-	E/2/4/0/0	-	-	-	-	-	-	-	-	-	-
6	UndeadDarkElf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0/-2/3/0/0	-	-	-	E/2/4/0/1	-	-	-	-	-	-	B/1/4/0/1	M/3/4/0/1
7	VampireDarkElf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	G/4/4/0/1	-	-	-	-	-	E/2/4/0/0	-	-	-	-	-	-	-	-	-	-
8	ZombieDarkElf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B/1/4/0/1	-	-	-	-	-	-	-	B/1/4/0/1	-	-	B/1/4/0/0	-	-	-	-	-
9	GhostDarkElf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
10	Minotaur	-	-	-	G/4/4/0/1	-	-	-	-	-	-	-	E/1/4/0/0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0/1/4/0/0	-	-	-	-	-	-	-	E/2/4/0/1	-	-	-
11	UndeadMinotaur	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0/-2/3/0/0	-	-	-	E/2/4/0/1	-	-	-	-	-	-	B/1/4/0/1	M/3/4/0/1
12	VampireMinotaur	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
13	ZombieMinotaur	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B/1/4/0/1	-	-	-	-	-	-	-	B/1/4/0/1	-	-	B/1/4/0/0	-	-	-	-	-
14	GhostMinotaur	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15	Troll	-	-	-	-	-	-	G/4/4/0/1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	G/4/4/0/1	-	-	-	-	-	-	-	-
16	UndeadTroll	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0/-2/3/0/0	-	-	-	E/2/4/0/1	-	-	-	-	-	-	-	-
17	VampireTroll	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
18	ZombieTroll	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B/1/4/0/1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
19	GhostTroll	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
20	Dragon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	G/4/4/0/1	M/3/4/0/1	-	-	-	E/2/4/0/0	-	E/2/4/0/0	-	E/2/4/0/0	M/3/4/0/1	-	-	-	-	-
21	UndeadDragon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	E/0/4/0/1	-	-	0/-2/3/0/0	-	E/2/4/0/0	-	E/2/4/0/1	-	-	-	-	-	-	B/1/4/0/1	M/3/4/0/1
22	VampireDragon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
23	ZombieDragon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B/1/4/0/1	E/0/4/0/1	-	-	-	-	E/2/4/0/0	-	B/1/4/0/1	-	-	B/1/4/0/0	-	-	-	-	-
24	GhostDragon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	E/0/4/0/1	-	-	-	-	E/2/4/0/0	-	B/1/4/0/1	-	-	-	-	-	-	-	-
25	Elf	-	-	-	-	-	M/3/4/0/1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	E/2/4/0/1	-	-	B/1/4/0/0	-	-	-	E/2/4/0/1	-	-	-	-	-	-	-	-	-	-
26	UndeadElf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0/-2/3/0/0	-	-	-	E/2/4/0/1	-	-	-	-	-	-	B/1/4/0/1	M/3/4/0/1
27	VampireElf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	G/4/4/0/1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
28	ZombieElf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B/1/4/0/1	-	-	-	-	-	-	-	B/1/4/0/1	-	-	-	-	-	-	-	-
29	GhostElf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
30	Goblin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B/0/4/0/1	-	-	-	-	-	B/1/4/0/0	E/2/4/0/1	M/3/4/0/1	-
31	UndeadGoblin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0/-2/3/0/0	-	-	-	E/2/4/0/1	-	-	-	-	-	-	B/1/4/0/1	M/3/4/0/1
32	VampireGoblin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
33	ZombieGoblin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B/1/4/0/1	-	-	-	-	-	-	-	B/1/4/0/1	-	-	-	-	-	-	-	-
34	GhostGoblin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
35	Dwarf	-	-	-	M/3/4/0/1	-	E/2/4/0/0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	E/2/4/0/1	-	E/2/4/0/1	-	-	-	-	-	-	-	-	-	-	-	-
36	UndeadDwarf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0/-2/3/0/0	-	-	-	E/2/4/0/1	-	-	-	-	-	-	B/1/4/0/1	M/3/4/0/1
37	VampireDwarf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
38	ZombieDwarf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B/1/4/0/1	-	-	-	-	-	-	-	B/1/4/0/1	-	-	-	-	-	-	-	-
