	Archer	WarriorMage	BattleMage	BattleMage3	MasterArcher	MasterArcher3	Sniper	Sniper3	Cleric	Priest	AcolyteLight	ClericLight	AcolyteDark	ClericDark	HighPriest	HighPriest3	PriestLight	PriestLight3	PriestDark	PriestDark	DarkElf0	DarkElf	Patriarch	Patriarch3	PatriarchLight	PatriarchLight3	PatriarchDark	PatriarchDark3	Drake	Dragon	GreatWyrm	GreatWyrm3	DragonLight2	DragonLight3	DragonDark2	DragonDark3	Druid	GreatDruid	MasterDruid	MasterDruid3	ArchDruid	ArchDruid3	Warlock	Warlock3	Knight	Cavalier	Knight2	Knight3	Champion	Champion3	BlackKnight	BlackKnight3	Minotaur0	Minotaur	MinotaurLord	MinotaurLord3	MinotaurLight2	MinotaurLight3	MinotaurDark2	MinotaurDark3	Monk	Initiate	Monk2	Monk3	Master	Master3	Ninja	Ninja3	Paladin	Crusader	Paladin2	Paladin3	Hero	Hero3	Villain	Villain3	Ranger	Hunter	Ranger2	Ranger3	RangerLord	RangerLord3	BountyHunter	BountyHunter3	Thief	Rogue	Robber	Robber3	Spy	Spy3	Assassin	Assassin3	Barbarian	Troll	WarTroll	Barbarian3	BarbarianLight2	BarbarianLight3	BarbarianDark2	BarbarianDark3	Vampire0	Vampire	Nosferatu	Nosferatu3	NosferatuLight	NosferatuLight3	NosferatuDark	NosferatuDark3	Sorcerer	Wizard	SorcererLight	WizardLight	SorcererDark	Necromancer	MasterWizard	MasterWizard3	ArchMage	ArchMage3	Lich	Lich3	Peasant	n/u
Staff	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B	B	B	B	B	B	B	B	E	E	E	E	E	E	E	E	M	M	M	M	M	M	M	M	M	M	G	G	G	G	G	G	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	-	-	-	-	-	-	-	-	M	M	G	G	G	G	G	G	-	-	-	-	-	-	-	-	M	M	M	M	M	M	M	M	M	M	M	M	-	-
Sword	E	E	E	E	E	E	E	E	-	-	-	-	-	-	-	-	-	-	-	-	M	M	M	M	M	M	M	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	M	G	G	G	G	G	G	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	M	M	M	M	M	M	M	M	E	E	E	E	E	E	E	E	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Dagger	E	E	E	E	E	E	E	E	-	-	-	-	-	-	-	-	-	-	-	-	M	M	M	M	M	M	M	M	-	-	-	-	-	-	-	-	M	M	M	M	M	M	M	M	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	M	M	G	G	G	G	G	G	E	E	E	E	E	E	E	E	M	M	G	G	G	G	G	G	E	E	E	E	E	E	E	E	E	E	E	E	-	-
Axe	E	E	E	E	E	E	E	E	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	E	E	M	M	M	M	M	M	E	E	M	M	M	M	M	M	-	-	-	-	-	-	-	-	E	E	E	E	E	E	E	E	M	M	G	G	G	G	G	G	-	-	-	-	-	-	-	-	M	M	M	M	M	M	M	M	E	E	E	E	E	E	E	E	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Spear	M	M	M	M	M	M	M	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	M	G	G	G	G	G	G	M	M	M	M	M	M	M	M	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	-	-	-	-	-	-	-	-	E	E	E	E	E	E	E	E	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Bow	M	M	G	G	G	G	G	G	B	B	B	B	B	B	B	B	B	B	B	B	M	M	G	G	G	G	G	G	-	-	-	-	-	-	-	-	B	B	B	B	B	B	B	B	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	B	B	B	B	B	B	B	B	E	E	E	E	E	E	E	E	M	M	M	M	M	M	M	M	E	E	E	E	E	E	E	E	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
Mace	-	-	-	-	-	-	-	-	M	M	M	M	M	M	M	M	M	M	M	M	B	B	B	B	B	B	B	B	-	-	-	-	-	-	-	-	E	E	E	E	E	E	E	E	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	-	-	-	-	-	-	-	-	M	M	G	G	G	G	G	G	-	-	-	-	-	-	-	-	E	E	E	E	E	E	E	E	M	M	G	G	G	G	G	G	E	E	E	E	E	E	E	E	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Blaster	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	-	-	-	-	-	-	-	-	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	B	B
Shield	-	-	-	-	-	-	-	-	M	M	M	M	M	M	M	M	M	M	M	M	E	E	E	E	E	E	E	E	-	-	-	-	-	-	-	-	E	E	E	E	E	E	E	E	M	M	G	G	G	G	G	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	M	G	G	G	G	G	G	E	E	E	E	E	E	E	E	B	B	B	B	B	B	B	B	-	-	-	-	-	-	-	-	M	M	M	M	M	M	M	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Leather	M	M	M	M	M	M	M	M	E	E	E	E	E	E	E	E	E	E	E	E	M	M	M	M	M	M	M	M	-	-	-	-	-	-	-	-	E	E	E	E	E	E	E	E	M	M	M	M	M	M	M	M	E	E	E	E	E	E	E	E	M	M	M	M	M	M	M	M	E	E	E	E	E	E	E	E	M	M	M	M	M	M	M	M	M	M	G	G	G	G	G	G	M	M	G	G	G	G	G	G	M	M	M	M	M	M	M	M	E	E	E	E	E	E	E	E	E	E	E	E	B	B
