	Archer	BattleMage	MasterArcher	Sniper	Cleric	ClericLight	ClericDark	HighPriest	PriestLight	PriestDark	Deerslayer	Pathfinder	PathfinderLight	PathfinderDark	Dragon	GreatWirm	DragonLight2	DragonDark2	Druid	MasterDruid	ArchDruid	Warlock	Knight	Champion	Templar	BlackKnight	Minotaur	MinotaurLord	MinotaurLight2	MinotaurDark2	Monk	Monk2	MasterMonk	Ninja	Paladin	Paladin2	Hero	Villain	Ranger	Ranger2	RangerLord	BountyHunter	Thief	Robber	Spy	Assassin	Barbarian	Warmonger	BarbarianLight2	BarbarianDark2	Vampire	Nosferatu	NosferatuLight	NosferatuDark	Sorcerer	Mage	Necromancer	MasterWizard	ArchMage	Lich	Peasant
Staff	-	-	-	-	C	C	C	-	C	C	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	F	F	F	C	F	F	-
Sword	C	C	C	C	-	-	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-	-	F	F	F	F	-	-	-	-	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F	F	-	-	-	-	-	-	-
Dagger	-	-	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	F	F	F	F	-	-	-	-	-	-	-	-	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F	F	-	-	-	-	C	C	C	C	C	C	C	C	C	C	-
Axe	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	F	F	F	F	-	-	-	-	C	C	C	C	F	F	F	F	-	-	-	-	C	C	C	C	C	C	C	C	-	-	-	-	-	-	-
Spear	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	C	C	C	C	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Bow	F	F	F	F	-	-	-	-	-	-	F	F	F	F	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	C	C	C	C	C	C	C	C	-	-	-	-	-	-	-	-	-	-	C
Mace	-	-	-	-	F	F	F	C	C	C	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	C	C	C	C	-	-	-	-	F	F	F	F	-	-	-	-	-	-	-	-	F	F	F	F	-	-	-	-	-	-	-	-	-	-	-
Blaster	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Shield	-	-	-	-	C	C	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-	-	C	C	C	C	C	C	C	C	-	-	-	-	-	-	-
Leather	C	C	C	C	C	C	C	C	C	C	C	C	C	C	-	-	-	-	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F
