Name	Revamp
Directory	Extra/Revamp
InitialSkillPoints	0
InitialExperience	0
Races.MaxMaturity	2
MM6Promo1ExpReward	10000
MM6Promo2ExpReward	20000
MM6GreatDruidPromoSundayNoon	1
MM6MasterDruidPromoMondayMidnight	1
MM6MagePromo	1
MM6NecromancerPromo	1
MM6ClericLightPromo	1
MM6ClericDarkPromo	1
MM6SettleSharry	1
MM6ConvertCleric	1
MM6ConvertPriest	1
MM6ConvertSorcerer	1
MM6ConvertWizard	1
MM7MagePromo	1
MM7NecromancerPromo	1
MM7ClericLightPromo	1
MM7ClericDarkPromo	1
MM7ArchDruidPromoBothSides	1
MM7WarlockPromoBothSides	1
MM8EnableTier1Promo	1
MM8Promo1ExpReward	10000
ConversionToUndeadRestriction	1
ExpFromKillByReanimated	1
MM6MultibyteReputationBug	1
MM6FixLinkedFountains	1
MM8ClearLostItBits	1
ReputationMaxTradeEffect	50
PermitSellSpecials	1
MaxHirelings	4
HirelingCutFromBaseGold	1
LearningIncreaseEvtExperience	1
LearningReduceTrainingTime	1
ScrollChanceNormal	100
ScrollChanceCursedNormal	50
ScrollChanceExpert	100
ScrollChanceCursedExpert	50
ScrollChanceMaster	100
ScrollChanceCursedMaster	50
ScrollChanceGM	100
ScrollChanceCursedGM	50
Scripts.EnableVisibleGauntlets	0
Scripts.EnableDruidSummoner	0
