Class name	Class description	Class kind
Archer	"Like Paladins, the Archer is a hybrid of the Knight and Sorcerer classes.  Archers may learn to use all weapons except the mace, (specializing in the bow, of course) but they may never learn the shield or plate armor skills.  They are compensated with the ability to learn magic from the elemental schools.  The greater realms of Light and Dark can be learned on their second promotions, but they will never be very skilled in them.  "	Archer
Warrior Mage	"Warrior Mage is the first Archer promotion.  Warrior Mages gain an extra hit point and spell point per level, and (more importantly) may achieve expert ranking in their magical skills."	Archer
Battle Mage	Battle Mage	Archer
Battle Mage 3	Battle Mage 3	Archer
Master Archer	"Master Archer is the second and last Archer promotion for Archers following the path of Light.  Master Archers may grandmaster in Chain armor, Bow, and Perception, and enjoy the benefit of an extra hit point and spell point per level.  Master Archers also gain the ability to learn spells from the realm of Light magic."	Archer
Master Archer 3	Master Archer 3	Archer
Sniper	"Sniper is the second and last Archer promotion for Archers following the path of Darkness.  Snipers may grandmaster in Chain armor, Bow, and Perception, and enjoy the benefit of an extra hit point and spell point per level.  Snipers also gain the ability to learn spells from the realm of Dark magic."	Archer
Sniper 3	Sniper 3	Archer
Cleric	"Clerics are adventuring, spell casting holy men. Before they leave the sanctity of their orders, clerics learn basic fighting skills and a smattering of useful healing spells. The cleric class is the one best at casting spirit, body and mind magic; and is the only class capable of using the extremely powerful light magic. They are fair fighters, but are limited to the lighter armors and can only melee with blunt weapons."	Cler
Priest	"Priest is the first Cleric Promotion.  They enjoy the benefit of an extra hit point and spell point per level, and can be promoted to Priest of the Light or Priest of the Dark to gain another hit point and spell point per level."	Cler
Acolyte of the Light	Acolyte of the Light	Cler
Cleric of the Light	Cleric of the Light	Cler
Acolyte of the Dark	Acolyte of the Dark	Cler
Cleric of the Dark	Cleric of the Dark	Cler
High Priest	High Priest is the second and last Cleric promotion. High Priest can learn and master in spells from the realm of both Dark and Lighr. High Priest gain an extra hit point and spell point per level, and may grandmaster in all of their spell skills and the Merchant skill.	Cler
High Priest 3	Hight Priest 3	Cler
