Stat	Human (0)	UndeadHuman (1)	VampireHuman (2)	ZombieHuman (3)	GhostHuman (4)	DarkElf (5)	UndeadDarkElf (6)	VampireDarkElf (7)	ZombieDarkElf (8)	GhostDarkElf (9)	Minotaur (10)	UndeadMinotaur (11)	VampireMinotaur (12)	ZombieMinotaur (13)	GhostMinotaur (14)	Troll (15)	UndeadTroll (16)	VampireTroll (17)	ZombieTroll (18)	GhostTroll (19)	Dragon (20)	UndeadDragon (21)	VampireDragon (22)	ZombieDragon (23)	GhostDragon (24)	Elf (25)	UndeadElf (26)	VampireElf (27)	ZombieElf (28)	GhostElf (29)	Goblin (30)	UndeadGoblin (31)	VampireGoblin (32)	ZombieGoblin (33)	GhostGoblin (34)	Dwarf (35)	UndeadDwarf (36)	VampireDwarf (37)	ZombieDwarf (38)	GhostDwarf (39)
Might	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	14/30	11/25	11/25	11/25	11/25	14/35	11/25	11/25	11/25	11/25	11/30	11/25	11/25	11/25	11/25	7/20	11/25	11/25	11/25	11/25	14/30	11/25	11/25	11/25	11/25	14/30	11/25	11/25	11/25	11/25
+ add	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1/2	1	1	1	1	2	1	1	1	1	2	1	1	1	1
Intellect	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	7/20	11/25	11/25	11/25	11/25	7/15	11/25	11/25	11/25	11/25	11/30	11/25	11/25	11/25	11/25	14/30	11/25	11/25	11/25	11/25	7/20	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25
+ add	1	1	1	1	1	1	1	1	1	1	1/2	1	1	1	1	1/2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1/2	1	1	1	1	1	1	1	1	1
Personality	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	7/15	11/25	11/25	11/25	11/25	11/30	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	7/20	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25
+ add	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1/2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1/2	1	1	1	1	1	1	1	1	1
Endurance	11/25	11/25	11/25	11/25	11/25	7/20	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	14/35	11/25	11/25	11/25	11/25	11/30	11/25	11/25	11/25	11/25	7/20	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	14/30	11/25	11/25	11/25	11/25
+ add	1	1	1	1	1	1/2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1/2	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Accuracy	11/25	11/25	11/25	11/25	11/25	14/30	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/30	11/25	11/25	11/25	11/25	14/30	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	7/20	11/25	11/25	11/25	11/25
+ add	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1/2	1	1	1	1
Speed	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/30	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	14/30	11/25	11/25	11/25	11/25	7/20	11/25	11/25	11/25	11/25
+ add	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1/2	1	1	1	1
Luck	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/30	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25
+ add	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
