Spell	SpellPointsNormal	SpellPointsExpert	SpellPointsMaster	SpellPointsGM	DelayNormal	DelayExpert	DelayMaster	DelayGM	DamageAdd	DamageDiceSides
	0	0	0	0	0	0	0	0	0	0
Torch Light	1	1	1	0	0	0	0	0	0	0
Fire Bolt	20	20	20	20	100	90	85	80	0	8
Fire Resistance	3	3	3	3	200	200	200	200	0	0
Fire Aura	4	4	4	4	0	0	0	0	0	0
Haste	8	7	6	5	0	0	0	0	0	0
Fireball	50	50	50	50	100	90	85	80	0	6
Fire Spike	30	30	30	30	50	50	50	50	0	6
Immolation	75	75	75	75	100	100	100	100	0	0
Meteor Shower	180	180	180	180	100	100	100	90	8	1
Inferno	125	125	125	125	180	180	180	180	12	2
Incinerate	120	120	120	120	100	100	100	80	20	20
Wizard Eye	1	1	1	0	0	0	0	0	0	0
Feather Fall	2	2	2	0	0	0	0	0	0	0
Air Resistance	3	3	3	3	200	200	200	200	0	0
Sparks	70	70	70	70	100	90	85	80	0	2
Jump	50	50	50	5	400	400	300	100	0	0
Shield	8	8	8	8	0	0	0	0	0	0
Lightning Bolt	65	65	65	65	40	35	30	25	0	8
Invisibility	75	75	75	50	0	0	0	0	0	0
Implosion	100	100	100	80	200	200	200	50	10	10
Fly	25	25	25	25	0	0	0	0	0	0
Starburst	250	250	250	250	90	90	90	90	30	1
Awaken	30	30	30	30	250	250	250	200	0	0
Poison Spray	60	60	60	60	100	90	85	80	4	4
Water Resistance	3	3	3	3	200	200	200	200	0	0
Ice Bolt	120	120	120	120	200	180	170	160	0	10
Water Walk	5	5	5	5	0	0	0	0	0	0
Recharge Item	8	8	8	8	0	0	0	0	0	0
Acid Burst	45	45	45	45	100	90	85	80	9	15
Enchant Item	15	15	15	15	0	0	0	0	0	0
Town Portal	20	20	20	20	0	0	0	0	0	0
Ice Blast	180	180	180	180	100	90	85	80	12	6
Lloyd's Beacon	100      	100	100	100	0	0	0	0	0	0
Stun	20	20	20	20	30	30	30	30	0	0
Slow	80	80	80	80	160	160	160	160	0	0
Earth Resistance	3	3	3	3	200	200	200	200	0	0
Deadly Swarm	240	240	240	240	210	180	150	120	5	45
Stone Skin	5	5	5	5	0	0	0	0	0	0
Blades	150	150	150	150	210	180	150	120	0	23
Stone to Flesh	10	10	10	10	140	140	140	140	0	0
Rock Blast	100	100	100	100	100	100	90	80	10	10
Telekinesis	50	50	50	50	250	250	200	150	0	0
Death Blossom	400	400	400	400	600	600	600	600	20	10
Mass Distortion	500	500	500	500	1000	1000	1000	1000	25	0
Detect Life	1	1	1	1	0	0	0	0	0	0
Bless	2	2	2	2	0	0	0	0	0	0
Fate	100	100	100	100	200	200	200	200	0	0
Turn Undead	500	500	500	500	1000	1000	1000	1000	0	0
Remove Curse	50	50	50	50	120	120	120	120	0	0
Preservation	8	8	8	8	0	0	0	0	0	0
Heroism	10	10	10	10	0	0	0	0	0	0
Spirit Lash	60	60	60	60	100	90	85	80	10	8
Raise Dead	200	200	200	200	240	240	240	240	0	0
Shared Life	175	175	150	150	150	150	150	150	0	0
Resurrection	300	300	300	300	1000	1000	1000	1000	0	0
Telepathy	1	1	1	1	9999	9999	9999	9999	0	0
Remove Fear	50	50	50	50	120	120	120	120	0	0
Mind Resistance	3	3	3	3	200	200	200	200	0	0
Mind Blast	150	150	150	150	100	90	80	80	11	11
Charm	350	350	350	350	750	750	750	750	0	0
Cure Paralysis	100	100	100	100	120	120	120	120	0	0
Berserk	80	80	80	80	200	200	200	200	0	0
Mass Fear	500	500	500	500	1000	1000	1000	1000	0	0
Cure Insanity	90	90	75	75	120	120	120	120	0	0
Psychic Shock	125	125	125	125	160	160	160	80	24	24
