Default Monster Data					Stats								Movement and Combat					Attack 1			Attack 2			    Spell Attack		    Spell Attack 2		Resistances										Misc
#	Name	Picture	LVL	 HP 	AC	 EXP 	Treasure	Blood	Fly	Move	AI Type	Hst	Spd	Rec	Pref	Bonus	Type	Damage	Miss	Att%	Type	Damage	Miss	Use%	"Spl,Mas,Skil"	Use%	"Spl,Mas,Skil"	Fire	Air	Water	Earth	Mind	Spirit	Body	Light	Dark	Phys	Special
																																						
	A		0																																			
1	Lizardman Peasant	Lizardmen Male (Peasant) A	4	19	0	3	1d3	1	N	Short	Wimp	4	200	100	0	0	Phys	12D13+5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Lizardman Farmer	Lizardmen Male (Peasant) B	5	21	0	4	1d3	1	N	Short	Wimp	4	215	90	0	0	Phys	14D14+5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Lizardman Villager	Lizardmen Male (Peasant) C	6	24	0	5	1d3	1	N	Short	Wimp	4	230	80	0	0	Phys	15D16+2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	Lizardman Soldier	Lizardmen Warrior A	4	19	0	67	1d6	1	N	Med	Normal	2	155	100	0	0	Phys	12D13+5	0	10	Phys	12D13+5	Arrow	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	Lizardman Sergeant	Lizardmen Warrior B	5	21	5	93	1d6	1	N	Med	Normal	2	175	90	0	0	Phys	14D14+5	0	15	Phys	14D14+5	Arrow	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	Lizardman Captain	Lizardmen Warrior C	6	24	10	130	1d6	1	N	Short	Aggress	2	195	80	0	0	Phys	15D16+2	0	25	Phys	15D16+2	Arrow	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	Young Couatl	Couatl (winged snake) A	1	5	0	103	5%2d5+L1GEM	0	N	Free	Aggress	3	225	80	0	Poison1x4	Phys	6D6+4	0	10	Fire	6D6+4	Fire	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0
8	Couatl	Couatl (winged snake) B	1	5	5	144	10%2d5+L1GEM	0	N	Free	Aggress	3	245	70	0	Poison1x6	Phys	6D6+4	0	10	Water	6D6+4	Water	1	0	0	0	0	10	22	10	10	10	10	10	10	5	0
